	record	length
0	VR-17-2_Variable_region_insert_primer_1_	481
1	VR-17-3_Variable_region_insert_primer_1_	404
2	VR-20-1_Variable_region_insert_primer_1_	431
3	VR-20-2_Variable_region_insert_primer_1_	724
4	VR-21-1_Variable_region_insert_primer_1_	319
5	VR-21-2_Variable_region_insert_primer_1_	437
6	VR-22-1_Variable_region_insert_primer_1_	404
7	VR-22-2_Variable_region_insert_primer_1_	678
8	VR-25-1_Variable_region_insert_primer_1_	405
9	VR-25-2_Variable_region_insert_primer_1_	403
10	VR-26-1_Variable_region_insert_primer_1_	310
